"","Date","The_Big_Bang_Theory_en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_desktop_all.agents","Liste_des_épisodes_de_The_Big_Bang_Theory_fr.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_en.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_en.wikipedia.org_all.access_spider","List_of_The_Big_Bang_Theory_episodes_en.wikipedia.org_all.access_spider","The_Big_Bang_Theory_.season_9._en.wikipedia.org_all.access_spider","List_of_The_Big_Bang_Theory_episodes_en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_de.wikipedia.org_all.access_spider","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_all.access_spider","The_Big_Bang_Theory_fr.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_de.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_es.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_en.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_es.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_es.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_de.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_all.access_spider","The_Big_Bang_Theory_de.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_es.wikipedia.org_all.access_spider"
"2",2015-07-01,"15966"," 1149","  212"," 8411","  190"," 1722","   54","   40","   24"," 5384","  213","    3","    5","  537"," 2373","  788"," 1117"," 7269","   23"," 2328"," 1190"," 2431","  320","    5"," 4965"," 1135","   24"
"3",2015-07-02,"17039"," 1207","  223"," 8734","  179"," 1865","   67","   22","    9"," 5639","  191","   12","    3","  622"," 2351","  739"," 1205"," 7966","   12"," 2621"," 1380"," 2509","  297","   13"," 5033"," 1060","   13"
"4",2015-07-03,"16064"," 1140","  193"," 7779","  171"," 1749","   44","   85","    7"," 5287","  181","    5","    7","  578"," 2170","  594"," 1090"," 7954","   10"," 2350"," 1243"," 2695","  290","    8"," 5054","  906","    9"
"5",2015-07-04,"13443"," 1459","  179"," 6859","  157"," 2945","   35","   81","   14"," 4957","  184","    9","    3"," 1413"," 1887","  624","  888"," 6318","   26"," 2231"," 1316"," 3081","  379","   14"," 5164"," 1036","    8"
"6",2015-07-05,"15478"," 1193","  183"," 7623","  148"," 1865","   39","   57","    6"," 5520","  178","   10","    2","  634"," 2065","  806"," 1008"," 7524","   30"," 2113"," 1089"," 2930","  434","   11"," 5231"," 1291","    4"
"7",2015-07-06,"15868"," 1363","  228"," 8617","  174"," 2062","   29","   35","    1"," 5729","  199","   13","    3","  668"," 4115"," 1119"," 1271"," 6941","   25"," 2582"," 1279"," 6797","  857","    7","11434"," 2060","    6"
"8",2015-07-07,"16229"," 1419","  254"," 8728","  159"," 2063","   61","   64","    5"," 5496","  173","   12","    7","  615"," 4231","  966"," 1109"," 7211","   14"," 2277"," 1148"," 3846","  464","    4"," 8333"," 1459","    6"
"9",2015-07-08,"16480"," 1520","  258"," 8786","  160"," 2240","  105","   31","    1"," 5396","  178","    7","    4","  681"," 3059","  881"," 1280"," 7364","   17"," 2490"," 1178"," 3391","  390","   11"," 6736"," 1298","   14"
"10",2015-07-09,"16734"," 1341","  262"," 8690","  182"," 1971","  256","   37","   16"," 5371","  199","    6","    4","  607"," 3013","  854"," 1301"," 7670","   16"," 2931"," 1588"," 2892","  384","    7"," 6148"," 1280","   26"
"11",2015-07-10,"15837"," 1170","  254"," 8054","  170"," 1778","   54","   38","    4"," 5176","  186","    9","    4","  559"," 2306","  708"," 1200"," 7421","   16"," 2502"," 1271"," 2727","  326","   10"," 5270"," 1069","   10"
